2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,TIGRINYA                      ,071,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SPANISH                       ,045,407,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SOMALI                        ,069,5,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ROMANIAN                      ,039,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ARABIC                        ,002,12,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CHINESE                       ,007,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CUTCHI                        ,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ADANGME/AKAN/DAGOMBA/DAGBANE/FANTE/FANTI/GA/TWI/EWE/GURMA                       ,083,40,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ENGLISH                       ,011,34070,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KOREAN                        ,026,27,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CHINESE                       ,007,69,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,GERMAN                        ,017,17,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TIGRINYA                      ,071,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,UKRANIAN                      ,049,99,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"ENGLISH, CREOLIZED            ",057,38,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PORTUGUESE                    ,038,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FRENCH                        ,015,50,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TIBETAN                       ,073,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,INDONESIAN                    ,032,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,POLISH                        ,037,15,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LAOTIAN                       ,028,159,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
