submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Bengali,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",007,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,German,017,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Haitian Creole,085,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mende,150,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Filipino, Pilipino",126,24,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Norwegian,034,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Vietnamese,051,490,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bantu,101,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Finnish,014,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Rwanda,093,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Amharic,063,69,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bemba,098,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Konkani,114,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Ojibwa, Chippewa, Anishinaabemowin",035,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Cantonese,108,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Vai,386,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ewe,158,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Sign Language, ASL",042,16,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Burmese,055,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Russian,040,295,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Kissi, Gissi ",273,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Igbo,065,62,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ilocano,125,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kom,276,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Grebo,077,115,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Minangkabau,313,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gio,242,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Iban,251,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arawak,079,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Thai,047,21,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bulgarian,064,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Anuak,103,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Jingpho, Kachin",257,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dutch,033,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Sidamo,138,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Marathi,116,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kannada ,113,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,French,015,101,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tigre,145,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Somali,069,304,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Nepali,068,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gola,243,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Igala,253,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Albanian,072,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gbandi ,238,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tibetan,073,25,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kru,282,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bosnian,041,84,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Akan ,156,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Afrikaans,001,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",070,196,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mano. Mah ,297,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
