Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Gio,242,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Cebuano,036,44,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Basaa,409,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Somali,069,156,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Spanish,045,1007,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Banda,190,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Urdu,122,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Sidamo,138,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Tagalog,375,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Gbandi ,238,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Arawak,079,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Kpelle, Pelle ",148,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Albanian,072,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,79,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Kannada ,113,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Marathi,116,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Afrikaans,001,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Macedonian,089,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
