Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,20-21,0006,03,South St. Paul Public School Dist,English,011,2638,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Swahili, Kiswahili ",070,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Chinese, Mandarin ",007,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Arabic,002,10,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Somali,069,18,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Khmer, Cambodian ",005,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Oromo, Afan Oromo, Oromiffa ",074,4,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Thai,047,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bantu,101,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Spanish,045,1432,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kom,276,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Anuak,103,14,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Nyanga ,167,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mende,150,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",007,75,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hindi ,019,21,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Slovak,043,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Wolaytta,396,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Faroese,230,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bassa,146,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,French,015,116,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Latvian,029,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Assamese,182,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gio,242,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ngumba,408,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Loma,290,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Sotho,165,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bosnian,041,79,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Russian,040,204,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Welsh,395,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Portuguese,038,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urdu,122,46,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Susu,364,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Marathi,116,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tigre,145,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Turkish,048,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tamil,118,10,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
