fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,VIETNAMESE                    ,051,24,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AFGHAN                        ,060,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,HMONG                         ,020,107,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SLOVAK                        ,043,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AMHARIC                       ,063,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,PERSIAN                       ,013,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ARABIC                        ,002,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,OROMO                         ,074,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,PORTUGUESE                    ,038,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,POLISH                        ,037,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ARMENIAN                      ,003,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,INDONESIAN                    ,032,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SWAHILI                       ,070,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ITALIAN                       ,023,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,WOLOF,094,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,TIGRINYA                      ,071,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,GERMAN                        ,017,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AFRIKAANS                     ,001,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,LAOTIAN                       ,028,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CHIPPEWA                      ,035,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CEBUANO                       ,036,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,CUTCHI                        ,010,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,JAPANESE                      ,024,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,NUER                          ,076,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
