fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gujarati,112,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Kissi, Gissi ",273,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bemba,098,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Turkman ,135,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Wolof,094,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tigrinya,071,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Loma,290,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Amharic,063,36,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bengali,010,39,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arabic,002,245,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ga,160,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Edo,139,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Krio,149,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,German,017,17,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Igbo,065,77,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Yoruba,075,45,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fulah,066,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Farsi ,013,14,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bulgarian,064,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Filipino, Pilipino",126,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Norwegian,034,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Russian,040,383,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dutch,033,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,163,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Basaa,409,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Twi,161,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Czech,004,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,33,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Malayalam,115,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Marathi,116,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arawak,079,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bosnian,041,91,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
