,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Hindi ,019,3,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Hmong,020,14,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,"Khmer, Cambodian ",005,3,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Korean,026,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,"Lao, Laotian ",028,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Romanian,039,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Samoan,056,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Somali,069,8,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Spanish,045,392,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Tigrinya,071,6,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Adangme,083,47,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Afrikaans,001,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Albanian,072,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Amharic,063,37,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Anuak,103,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Arabic,002,205,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Arawak,079,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Balinese,086,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Bemba,098,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Bengali,010,46,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Bosnian,041,90,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Bulgarian,064,13,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Burmese,055,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Cebuano,036,50,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Chinese, Mandarin ",007,73,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Czech,004,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Dutch,033,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,English,011,33310,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"English, Creolized",057,38,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Farsi ,013,13,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Finnish,014,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,French,015,58,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Fulah,066,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Ganda, Luganda ",095,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,German,017,21,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Grebo,077,331,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Haitian Creole,085,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Hindi ,019,48,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Hmong,020,1071,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Igbo,065,64,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Indonesian, Bahasa Indonesian",032,7,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Italian,023,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Japanese,024,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Kabyle ,078,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Kamba,088,8,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Khmer, Cambodian ",005,35,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
